Genotype,Dish_Number,Date,Day_of,file,X,mean_grey,sd_grey,mean_area,sd_area,mean_perimeter,sd_perimeter,mean_major,sd_major,mean_minor,sd_minor,mean_ar,sd_ar,sd_turning,duration,N_frames,max_net,net_disp,net_speed,gross_disp,gross_speed,max_step,min_step,sd_step,sd_gross_speed,max_gross_speed,min_gross_speed,mean_turning
Mix,32,11_9_2022,9,Mix_32_11_9_2022,435,70.45901443,5.272106795,6716.762656,2141.671107,374.6812118,80.19614904,156.6219166,34.8921039,52.43792185,10.33265709,3.047970296,0.694944433,0.481764706,10.25816993,162.2352941,6944.032353,5759.176471,639.6564706,18210.05588,1769.591765,1039.727059,19.01941176,103.2405882,657.12,4097.733529,329.6294118,0.009411765
Mix,33,10_31_2022,0,NA,NA,88.71580202,5.664656366,10988.16229,3097.984156,468.4540931,93.80362873,191.2959009,38.14061272,70.4416652,13.04062695,2.815717799,0.600697179,0.507971876,10.83273741,177.9864792,5916.529446,4662.881712,495.6060075,15472.55889,1440.492174,1024.448915,10.1155834,97.18751569,555.8242282,4126.770323,170.2946176,0.006129553
Mix,33,11_2_2022,2,Mix_33_11_2_2022,689.5,84.66186844,4.290821237,10705.83021,2668.634608,473.7739355,83.67212435,196.6491531,37.2803685,68.06263177,10.92306215,2.953795504,0.62142473,0.5145,10.87222222,178.45,5398.399,4831.8,503.134,14657.41,1406.616,976.07,7.92,96.8765,655.062,3824.913,142.554,0.0145
Mix,33,11_4_2022,4,Mix_33_11_4_2022,656,83.81154863,10.13785814,9207.679478,3227.729208,436.1992903,102.2574149,182.2049569,43.86091025,61.35295823,13.73900329,3.038224312,0.710168163,0.480588235,10.56535948,164.9411765,7953.208235,6559.647059,733.27,16410.06529,1594.657059,1345.828824,8.951176471,133.5535294,666.7070588,4305.246471,161.1370588,0.002352941
Mix,33,11_9_2022,9,Mix_33_11_9_2022,452.5,68.22311604,5.498910148,8619.055127,2819.002836,416.6759207,92.35109408,172.1046872,39.60665248,61.42024498,12.68541807,2.871653263,0.657704934,0.541666667,11.6882716,184.9444444,6120.592222,4141.277778,391.91,19362.62167,1652.548889,1420.784444,10.95166667,135.2972222,752.9538889,4541.171111,143.0483333,-0.010555556
Mix,34,10_31_2022,0,NA,NA,88.71580202,5.664656366,10988.16229,3097.984156,468.4540931,93.80362873,191.2959009,38.14061272,70.4416652,13.04062695,2.815717799,0.600697179,0.507971876,10.83273741,177.9864792,5916.529446,4662.881712,495.6060075,15472.55889,1440.492174,1024.448915,10.1155834,97.18751569,555.8242282,4126.770323,170.2946176,0.006129553
Mix,34,11_2_2022,2,Mix_34_11_2_2022,707.5,83.23047848,7.070456243,8928.456529,2888.419423,427.8413859,91.83090878,176.938882,37.20577527,61.56947063,12.90785565,2.909496344,0.571289255,0.43375,10.40277778,159.3125,7363.543125,5430.1875,591.53,22316.38563,2216.4675,1312.10125,41.3225,131.039375,578.9875,4443.7,513.63625,0.005625
Mix,34,11_4_2022,4,Mix_34_11_4_2022,672,89.82509976,6.245009761,10103.35268,3452.970797,459.229471,98.56019569,191.5421849,41.83298038,64.69844077,13.87055885,3.030556512,0.644370804,0.43,10.74814815,160.9333333,7898.228667,6817.4,684.17,20825.38267,1938.554667,1505.726667,21.91,159.212,612.87,3876.432667,288.1926667,-0.016666667
Mix,34,11_9_2022,9,Mix_34_11_9_2022,120.5,76.26121115,6.952471665,6955.217633,2421.943298,359.3175836,85.61929962,146.3004063,37.33772197,58.27417774,12.39243462,2.563720919,0.690535792,0.635,11.67222222,190.7,5046.309,4390.95,416.766,13644.7365,1168.268,1274.612,5.8665,112.454,629.1275,4403.911,105.627,-0.0055
Mix,34,11_12_2022,12,Mix_34_11_12_2022,464.5,65.86584666,5.258002545,7922.147383,3668.058341,416.9249605,193.2884928,169.4132293,57.51187225,56.90130615,11.61674842,3.038916357,0.976142159,0.626,11.03333333,168.8,4868.043,3922.45,404.533,12391.0325,1113.022,1220.8785,3.2785,124.003,704.0765,4003.377,56.1445,0.005
