Day,Didinium_8,Didinium_11,Didinium_21,Didinium_26,Didinium_40,Paramecium_8,Paramecium_11,Paramecium_21,Paramecium_26,Paramecium_40,ParameciumAVG,DidiniumAVG
0,0.26,0.26,0.26,0.26,0.26,161,161,161,161,161,161,0.26
1,0.32,0.32,0.26,0.19,0.26,540,225,865,270,295,439,0.27
2,0.58,1.61,0.58,0.9,1.23,165,290,510,180,225,274,0.98
3,1.29,1.55,2,1.68,3.1,710,265,290,160,195,324,1.924
4,4.52,4.45,3.94,6.58,7.68,220,295,200,220,160,219,5.434
5,9.35,13.03,6.65,10.9,14.06,105,30,130,55,40,72,10.798
7,26.32,0.97,8.65,0.58,0.45,40,0.65,45,4.06,3.16,18.574,7.394
8,20.65,1.1,10.45,25,55,20,265,60,360,190,179,22.44
9,17.23,6,9.87,20,9.1,40,465,15,400,450,274,12.44
10,1.35,4.58,5.74,3.87,0.52,290,690,675,10,50,343,3.212
12,1.23,1.29,1.35,15,2.26,170,95,470,85,35,171,4.226
14,6.13,2,1.68,1.68,0.65,270,30,5.81,30,30,73.162,2.428
16,6.71,2,0.32,2.26,2.77,345,120,5.42,60,100,126.084,2.812
18,9.03,2.13,0.19,5.48,4.19,155,130,3.03,30,4.39,64.484,4.204
21,0.97,1.61,0,2.65,2.77,140,60,11.03,50,90,70.206,1.6
23,5.48,1.29,0,1.16,1.16,230,335,60,155,105,177,1.818
