Day,Didinium_2,Didinium_14,Didinium_31,Didinium_39,Didinium_46,Paramecium_2,Paramecium_14,Paramecium_31,Paramecium_39,Paramecium_46,ParameciumAVG,DidiniumAVG
0,0.26,0.26,0.26,0.26,0.26,161,161,161,161,161,161,0.26
1,0.13,0.32,0.32,0.26,0.19,215.00,150.00,75.00,320.00,90.00,170,0.24516129
2,0.52,0.00,0.13,0.00,0.00,160.00,135.00,195.00,305.00,225.00,204,0.129032258
3,0.00,0.00,0.00,0.00,0.00,290.00,320.00,200.00,465.00,335.00,322,0
4,0.00,0.00,0.00,0.00,0.00,555.00,230.00,110.00,330.00,280.00,301,0
5,0.00,0.00,0.00,0.00,0.00,110.00,190.00,,,,150,0
