Day,Didinium_7,Didinium_23,Didinium_28,Didinium_29,Didinium_43,Paramecium_7,Paramecium_23,Paramecium_28,Paramecium_29,Paramecium_43,ParameciumAVG,DidiniumAVG
0,0.26,0.26,0.26,0.26,0.26,161,161,161,161,161,161,0.26
1,0.32,0.39,0.32,0.26,0.26,175.5,180,160,270.00,285.00,214.1,0.30916129
2,1.03,1.03,1.81,0.97,0.39,190.00,180,225,275.00,445.00,263,1.045870968
3,1.94,1.68,2.65,1.48,1.03,225.00,290,460,405.00,395.00,355,1.755806452
4,4.06,1.94,4.26,1.74,4.65,315.00,135,285,385.00,225.00,269,3.329419355
5,11.10,1.42,4.52,3.23,24.26,20.00,85,75,120.00,35.00,67,8.904
7,8.13,3.16,3.74,25.00,0.97,1.74,50,30,110.00,0.13,38.37419355,8.199612903
8,4.65,6.84,2.06,7.48,85.00,30.00,5.03,30,105.00,100.00,54.006,21.20554839
9,1.03,7.81,0.77,11.23,65.00,60.00,0.13,30,100.00,120.00,62.026,17.16690323
10,0.19,6.58,0.71,6.26,1.61,40.00,0.39,50,290.00,110.00,98.078,3.071032258
12,0.00,3.35,1.55,0.00,0.00,155.00,3.61,80,60.00,450.00,149.722,0.980967742
14,,0.26,3.03,,,,7.16,70,,,38.58,1.644032258
16,,0.52,2,,,,7.94,85,,,46.47,1.258064516
18,,1.94,0.06,,,,3.16,3.29,,,3.225,0.997741935
21,,1.48,0,,,,4.19,195,,,99.595,0.741935484
23,,0.77,0,,,,2.26,110,,,56.13,0.387096774
