Day,Didinium_9,Didinium_13,Didinium_30,Didinium_36,Didinium_41,Paramecium_9,Paramecium_13,Paramecium_30,Paramecium_36,Paramecium_41,ParameciumAVG,DidiniumAVG
0,0.26,0.26,0.26,0.26,0.26,161,161,161,161,161,161,0.26
1,0.26,0.45,0.19,0.26,0.06,210,310,285.00,250.00,385.00,288,0.245225806
2,0.77,1.03,0.58,0.39,0.32,375,325,255.00,235.00,355.00,309,0.618064516
3,1.48,1.55,0.65,0.71,0.45,325,350,375.00,355.00,780.00,437,0.967290323
4,2.9,1.42,0.71,0.71,0.52,285,240,85.00,350.00,375.00,267,1.251096774
5,9.68,1.23,0.77,0.32,1.03,15,250,265.00,125.00,230.00,177,2.607806452
7,1.42,1.68,0.00,0.39,0.52,1.35,175,150.00,215.00,325.00,173.27,0.800645161
8,30,2.52,0.00,0.39,0.39,135,110,180.00,100.00,340.00,173,6.65883871
9,3.29,2.9,,0.13,0.26,520,95,,275.00,400.00,322.5,1.644274194
10,7.23,4.9,,0.06,0.13,15,130,,500.00,185.00,207.5,3.080887097
12,5.87,15,,0.00,0.00,260,85,,180.00,150.00,168.75,5.2175
14,1.87,7.94,,0.00,,50,11.1,,90.00,,50.36666667,3.27
16,1.42,7.03,,,,55,15,,,,35,4.225
18,1.03,2.65,,,,135,2.84,,,,68.92,1.84
21,1.03,1.74,,,,50,20,,,,35,1.385
23,0.77,0.52,,,,125,55,,,,90,0.645
